country,year,hour_utc,gen_Nuclear,gen_Lignite,gen_Hard coal,gen_Gas,gen_Oil & other fossil,gen_Biomass,gen_Waste,gen_Geothermal,gen_Hydro run-of-river,gen_Hydro reservoir,gen_Hydro pumped (production),gen_Onshore wind,gen_Offshore wind,gen_Solar,gen_Marine,gen_Other renewable,gen_Other,pumped_consumption,flow_net,flow_import,flow_export,price
DE,2019,0,8089.96,10601.41,3862.83,5449.01,448.44,4420.48,694.21,23.05,1672.04,140.98,147.53,11897.93,2832.93,0.19,0.0,153.07,367.9,-3282.72,-904.26,1080.39,1984.65,29.08
DE,2019,1,8065.86,10482.32,3804.65,5407.49,448.57,4421.67,689.67,23.1,1671.31,139.57,134.09,11693.53,2836.62,0.21,0.0,152.78,366.98,-3611.82,-773.07,1157.74,1930.81,28.1
DE,2019,2,8054.78,10577.26,3883.54,5439.67,448.54,4428.27,689.7,23.05,1668.44,138.76,126.94,11577.58,2849.09,0.65,0.0,152.86,367.11,-3530.63,-638.43,1232.16,1870.6,27.82
DE,2019,3,8069.5,10965.62,4240.34,5632.9,448.51,4447.74,691.78,22.88,1663.95,149.66,146.58,11542.3,2856.6,40.78,0.0,153.82,369.38,-2656.54,-604.89,1250.84,1855.73,29.15
DE,2019,4,8107.16,11496.42,5005.05,6091.34,448.43,4498.78,691.85,22.61,1658.69,212.66,578.09,11534.87,2837.25,405.26,0.0,155.49,375.51,-1339.68,-564.07,1292.41,1856.48,34.11
DE,2019,5,8124.99,11903.96,5751.44,6586.98,449.3,4569.2,689.84,22.15,1654.93,282.63,1744.57,11332.52,2809.32,1671.0,0.0,156.4,381.28,-661.88,-552.43,1231.13,1783.56,40.38
DE,2019,6,8134.93,12089.58,6123.51,6892.65,455.47,4623.17,687.68,21.66,1655.66,313.44,2185.07,10793.81,2765.88,4172.18,0.0,157.09,385.79,-387.64,-627.63,1119.27,1746.9,44.31
DE,2019,7,8142.55,12147.75,6207.87,6997.54,458.15,4629.4,686.16,21.11,1657.95,289.7,1803.55,10400.86,2726.47,7589.59,0.0,157.06,386.9,-348.01,-910.22,940.62,1850.84,43.54
DE,2019,8,8124.96,12019.58,6131.1,6963.46,457.95,4601.56,684.87,20.64,1658.97,250.72,1192.32,10339.79,2702.69,11072.64,0.0,157.04,387.18,-466.54,-1157.95,833.13,1991.08,41.13
DE,2019,9,8103.64,11839.12,6004.14,6886.87,459.56,4569.09,683.63,20.17,1660.55,230.9,872.65,10531.97,2687.04,13713.16,0.0,157.08,386.31,-606.43,-1319.64,765.11,2084.75,39.2
DE,2019,10,8084.77,11643.38,5861.07,6807.69,460.57,4527.23,683.04,19.83,1661.98,201.4,630.15,10770.13,2682.06,15127.4,0.0,156.74,384.83,-853.29,-1451.9,703.63,2155.53,37.34
